business_name,owner_name,email,phone,website,address_street,address_city,address_state,address_zip,lat,lng,certifications,services,years_in_business,license_number,insurance_verified
Reliable Residential Inspections,Brian Garcia,info@briangarcia.com,(251) 169-4931,https://reliableresidential.com,8130 Third Street,Birmingham,AL,55650,33.520775648509506,-86.83355196688511,NAHI; CREIA,Home Inspection; Mold Testing; Termite Inspection,24,LIC95217,false
Detailed Home Inspection Co.,John Miller,johnmiller@aol.com,(520) 558-2343,https://www.detailedcoinspections.com,5964 First Street,Birmingham,AL,66408,33.51736235279071,-86.79173508621543,Licensed,Home Inspection; Foundation Inspection,8,LIC80790,true
Eagle Eye Property Inspections,Andrew Brown,andrewbrown.inspection@hotmail.com,(520) 467-1534,,7861 Main Street,Birmingham,AL,21160,33.515140396323076,-86.80759442205012,AHIT,Home Inspection; Foundation Inspection,11,,true
Complete Home Inspection Services,Steven Brown,contact@stevenbrowninspections.com,(520) 300-3212,https://completeerviceshome.com,8326 First Street,Birmingham,AL,83729,33.532415903232675,-86.79525909904618,ASHI; InterNACHI,Home Inspection; Pool Inspection; HVAC Inspection,23,LIC14022,true
Accurate Home Inspections,Andrew Rodriguez,andrewrodriguez@hotmail.com,(602) 273-9075,https://accurate.com,8640 Main Street,Birmingham,AL,35178,33.495042718904344,-86.79793724564878,Licensed,Property Inspection; Septic Inspection,23,,true
Detailed Home Inspection Co.,Paul Garcia,paulgarcia@propertycheck.com,(520) 877-9355,,2442 School Street,Birmingham,AL,44615,33.559595994695165,-86.7750182261367,AHIT,Home Inspection; Well Water Testing,8,LIC61528,true
Eagle Eye Property Inspections,David Jones,davidjones@outlook.com,(251) 533-6537,https://www.eagleeyeinspections.com,610 Park Avenue,Birmingham,AL,70236,33.52266048637776,-86.77387886341141,AHIT,Property Inspection; Septic Inspection,13,,false
Accurate Home Inspections,James Hernandez,jameshernandez.inspection@yahoo.com,(623) 172-6951,https://www.accurateinspections.com,7615 School Street,Birmingham,AL,44791,33.47733597513738,-86.815160944499,NAHI; CREIA,Residential Inspection; Electrical Inspection,19,LIC83414,true
Professional Property Evaluations,Christopher Garcia,contact@christophergarciainspections.com,(334) 346-5654,,5549 Cedar Lane,Birmingham,AL,17724,33.49948514905392,-86.80665315873426,AHIT,Property Inspection; Septic Inspection,11,,true
Thorough Property Assessments,Kenneth Anderson,contact@kennethandersoninspections.com,(928) 988-5258,,9043 Lincoln Drive,Birmingham,AL,41305,33.55267962152118,-86.8328682238723,Licensed,Home Inspection; Plumbing Inspection,10,,false
Reliable Residential Inspections,James Wilson,jameswilson98@aol.com,(256) 133-7626,https://www.reliableresidentialinspections.com,1537 Pine Road,Birmingham,AL,42013,33.51136546321905,-86.78681952586564,ASHI,Home Inspection; Pool Inspection; HVAC Inspection,9,,true
Accurate Home Inspections,Paul Davis,contact@pauldavisinspections.com,(623) 436-5428,https://accurate.com,2658 First Street,Birmingham,AL,75250,33.557192089818095,-86.76896099495345,Licensed,Home Inspection; Pool Inspection; HVAC Inspection,3,,true
AllClear Inspection Services,Paul Johnson,pauljohnson68@homeinspections.com,(480) 847-4341,https://www.allclearervicesinspections.com,3108 Elm Street,Birmingham,AL,47899,33.55590302906211,-86.83250562285693,InterNACHI,Home Inspection; Radon Testing,5,,true
AllClear Inspection Services,Robert Martinez,contact@robertmartinezinspections.com,(907) 448-9816,,2985 Lincoln Drive,Birmingham,AL,93420,33.56035100251757,-86.76093594144815,AHIT,Property Inspection; Roof Inspection,8,,true
HomeGuard Inspection Company,Brian Johnson,info@brianjohnson.com,(623) 431-7911,https://guardcompany.com,9180 School Street,Birmingham,AL,80162,33.51216750762262,-86.76715053267385,ASHI; InterNACHI,Home Inspection; Radon Testing,3,,true
AllClear Inspection Services,Andrew Wilson,andrewwilson60@aol.com,(480) 421-4062,https://www.allclearervicesproperty.net,1996 Maple Drive,Birmingham,AL,98154,33.47993722829004,-86.85882457903102,InterNACHI,Residential Inspection; Electrical Inspection,9,LIC95995,true
Eagle Eye Property Inspections,James Wilson,contact@jameswilsoninspections.com,(520) 296-4067,https://eagleeye.com,9472 Maple Drive,Birmingham,AL,39990,33.48674158276408,-86.81072492857056,Certified; Licensed,Residential Inspection; Electrical Inspection,2,,true
TrustPoint Home Inspection,William Anderson,williamanderson45@homeinspections.com,(907) 373-2095,https://www.trustpointinspections.com,1386 School Street,Birmingham,AL,60562,33.47085066206354,-86.77753095464703,ASHI; InterNACHI,Home Inspection; Pool Inspection; HVAC Inspection,16,,true
SafeCheck Home Inspections,Mark Miller,info@markmiller.com,(623) 688-9912,https://www.safecheckproperty.net,6725 Oak Avenue,Birmingham,AL,17503,33.50002466966751,-86.76332456459018,Licensed,Home Inspection; Pool Inspection; HVAC Inspection,14,,false
